macro_domain,expected_msgs,observed_msgs,diff
5,7499,6823,-676
4,5078,3946,-1132
2,2891,1823,-1068
1,1477,914,-563
7,1366,1782,416
3,1293,1134,-159
6,789,3909,3120
0,84,148,64
