month,n_threads,median_depth,median_branching,median_chars_msg,median_total_msgs
2025-05,11,581.0,1.008605851979346,963.0763807285547,428.0
2025-06,4,418.0,1.006580877265809,1919.1369897438612,343.0
2025-07,8,428.0,1.0,2447.7672093023257,352.5
2025-08,10,85.0,1.0,2077.678195488722,61.0
2025-09,5,456.0,1.001826484018265,1589.6666666666667,340.0
2025-10,9,442.0,1.0,10360.072972972974,343.0
2025-11,11,286.0,1.0,5963.752136752137,186.0
2025-12,6,175.0,1.0053763440860215,8111.929744699815,126.0
