macro_domain,r_user_leads_assistant,p_perm_abs_user_leads,r_assistant_leads_user,p_perm_abs_assistant_leads
1,0.9116160581467679,0.0565,0.6400374570201227,0.307
0,-0.6410043905065476,0.22,-0.17337687646531072,0.6435
7,0.5813346050267147,0.225,0.053561099168613326,0.852
6,0.4156391584828917,0.4265,0.4821581720800015,0.2935
5,-0.3039405511924407,0.558,-0.5042701686154528,0.2975
4,-0.2554738921625414,0.6455,-0.39912385712162674,0.44
2,-0.06147692870618793,0.9215,-0.3083357687175661,0.5765
3,0.04521330328151368,0.9765,-0.21801924919609206,0.802
