month,ttr,unique_words,total_words
2025-05,0.0871,5480,62922
2025-06,0.1252,5478,43746
2025-07,0.0881,7071,80256
2025-08,0.0838,7321,87399
2025-09,0.0469,7792,166199
2025-10,0.047,7920,168347
2025-11,0.0441,7541,171144
2025-12,0.0639,7023,109853
