unit,min_len,n,user_count,assistant_count,user_share,assistant_share,binom_p_two_sided_vs_0.5
sustained_episodes,20,5,2,3,0.4,0.6,1.0
threads_first_sustained_episode,20,4,2,2,0.5,0.5,1.0
