macro_domain,size_msgs_total,num_fine_clusters,auto_label,top_terms,fine_clusters
5,7499,22,"just, like, think, good, list, want","just, like, think, good, list, want, bro, book, henry, com, queries, ai, able, don, actually, thanks, maybe, know, updates, yeah, manuscript, let, null, version, going","0,3,6,10,18,22,24,27,29,31,32,33,35,38,40,41,42,50,51,52,56,58"
4,5078,14,"ai, emotional, book, identity, like, chapter","ai, emotional, book, identity, like, chapter, self, human, just, use, users, belonging, let, gen, companionship, chapters, openai, user, chapter chapter, persona, synthetic, reflection, social, ll, people","2,5,9,17,21,23,25,26,30,36,43,46,54,57"
2,2891,6,"just, people, like, don, ve, life","just, people, like, don, ve, life, want, let, think, emotional, good, bruno, dance, person, self, gym, feel, know, lot, maybe, real, going, isn, ai, really","4,8,19,20,39,44"
1,1477,6,"text, pillar, analysis, run, dataset, emotion","text, pillar, analysis, run, dataset, emotion, emotional, eee, participants, longitudinal, wave, gna, batch, ids, data, narrative, participant, layer, 100, correlation, csv, author, topic, authors, multilingual","7,15,16,47,49,59"
7,1366,5,"file, csv, json, data, pd, mnt","file, csv, json, data, pd, mnt, mnt data, import, upload, uploaded, df, server, rows, url mnt, columns, csv file, mysql, php, url, script, html, txt, participant_id, js, files","14,28,37,48,53"
3,1293,3,"en, que, es, una, para, te","en, que, es, una, para, te, la, el, tu, pero, por, más, español, como, si, lo, muy, mi, mucho, los, gimnasio, tengo, sonia, del, ahora","11,12,55"
6,789,3,"snatch, bar, body, muscle, just, like","snatch, bar, body, muscle, just, like, cns, day, lift, recovery, hip, technique, lifts, catch, chest, fat, protein, bar path, sleep, pull, carb, snatches, loss, overhead, cut","13,34,45"
0,84,1,"mode, listen mode, listen, buddy, henry, reflective mode","mode, listen mode, listen, buddy, henry, reflective mode, hermano mode, hermano, henry mode, default, chats, reflective, ll, switch, buddy mode, want, banter, short, like, response",1
