t_index,month_t,month_tplus1,cos_dU_t__dA_tplus1,cos_dA_t__dU_tplus1
0,2025-06,2025-07,-0.8110479438533115,-0.7454106970541916
1,2025-07,2025-08,0.1436181556701142,0.05246691336531426
2,2025-08,2025-09,0.33229396389474897,0.39262986808687483
3,2025-09,2025-10,-0.670914333213992,-0.7753694294040362
4,2025-10,2025-11,0.07035284266450613,-0.3619999675442319
5,2025-11,2025-12,0.6332481128069728,0.2995839012316004
