macro_domain,start_idx,end_idx,run_len,initiator_role,initiator_node,thread_id
5,2025-09-19 09:16:35.145285+00:00,2025-09-19 09:31:24.951453+00:00,22,assistant,0b35fb24-5d52-4b3c-8565-86fe1248e24c,68b46172-1508-832a-b737-e6459f52bd94
5,2025-09-25 07:50:05.928508+00:00,2025-09-25 07:59:15.190924+00:00,27,assistant,82355e94-5704-40eb-9cac-5dc21597bc83,68b46172-1508-832a-b737-e6459f52bd94
5,2025-10-20 13:45:20.452472+00:00,2025-10-30 18:20:47.398527+00:00,21,user,8e85d739-182c-4593-82b7-fb91c93a6ffa,68b559c0-a794-832d-9494-bc8167393bd8
5,2025-12-04 12:13:17.020204+00:00,2025-12-04 12:16:44.666543+00:00,26,assistant,8e4cb452-d2b2-4a1e-98a8-d59459c085ab,69241ffd-12f0-832e-8d62-13057bac90b8
6,2025-12-07 08:40:07.213000+00:00,2025-12-07 12:53:31.831000+00:00,21,user,28f94897-04ab-47a4-bb60-16764931b438,6931caba-75d8-832f-89ef-e59ee4f4d972
