month,num_messages,num_clusters_present,topic_entropy
2023-02,6,4,1.2424533248940002
2025-02,7,5,1.5498260458782016
2025-05,1085,55,3.4566936300005584
2025-06,774,53,3.4906881110616124
2025-07,1115,54,3.572339340997209
2025-08,910,56,3.6647629651809224
2025-09,1018,49,3.4626486561845793
2025-10,1312,53,3.657222189528825
2025-11,1622,55,3.635089163357879
2025-12,1109,52,3.286235595334329
