node_id,macro_domain
6e3ccc29-1711-4f3f-acd3-bbe2eaf52d78,7
94a2dd09-8fdf-4a2a-9855-fdb897dc3f7a,2
f41f7354-dc8f-4346-8155-ce66abd66c74,7
3c833da1-4dca-4052-92c7-6defa3f4af37,2
0400f0fa-f778-4e90-a112-5e3b9bf1b33c,6
6f02d52f-3230-4fc9-87e8-ba713b5b725c,6
7b4917df-4c4e-414b-8ba5-cdec86dbbd62,2
fcbb0b41-ffa6-4e30-b65c-05cfc248876d,4
e942d250-ae56-4a24-bb4d-056ffe14cca0,4
f232cf1d-d80a-46d8-94c2-5e47e728a276,2
11035948-eb71-4236-95d8-6453d0e12603,6
44fcafe2-69cb-4110-abf5-32ecb6da098f,2
191558a0-4390-46e6-81de-ea7325635909,6
3b4b1c8f-355f-4628-b2ab-2ca2925a7290,5
2f022c6a-3112-4109-ad51-805975454e79,5
1a2cd092-0757-4e15-bc15-a83194363332,4
f8ff21f8-aa7b-4449-b84c-381d56cd01b9,4
91b690c4-332a-4a6f-9113-8abcfd2612ce,5
8119a88f-b6f7-425c-8931-60ceca8d690b,2
8eb1c93f-102c-40bb-bad7-94bcc8c9041c,2
b56547e6-f6a4-4825-bd5e-55acadbbf55a,1
36b78949-2d58-4deb-8d01-f341dc101769,1
44e58b4a-8b01-4705-824f-5195b1235ead,2
f2db1937-0d40-4c5e-ac5a-5be14d9de0f1,7
65855e8e-a01a-425f-ad8e-be609ff141b9,3
9661aca6-79a0-45bb-a91c-7a95ab517b45,3
5da24626-e046-4480-bd2f-7fa5e1096560,2
8655f56d-25dd-44fe-b575-f402a6dd8c21,7
28b1b768-42f6-4c49-9be9-c2d5a7cea5dc,7
59bd0285-21d7-42fd-bb75-d2ca5cf50c19,7
36286c1c-eed0-40b4-a970-957725b1c602,7
237d6eaa-41b8-4418-86db-2cf3a8afd2c1,2
fe3de29e-376a-4179-8162-0f7729c20b16,5
18248a0c-2f28-44de-88ab-1f53aa910e55,5
2d8f121c-7862-4919-814b-5e28b57d8fae,5
5591ae2a-5830-4506-aded-9ee5d9dc3da9,5
a3022a6b-c65c-4756-9a8a-fff18c54736a,5
42b9533e-2e70-418a-a28c-12ce62a156cc,6
89da94ed-f3ae-4c0a-bc50-019b06deb5d8,5
9434a642-146f-42f3-b78a-5bd7bb8d7619,7
c6e49381-3195-4ef8-8ef3-38e9e1695c1c,7
dcfb630c-5853-4c16-a49f-36548560c313,7
9f290f1f-a6a9-4257-9451-aadeb0cff87f,6
1473b374-ba5c-4055-a97d-30cc4cadad77,7
e8900324-0523-4d62-8a2c-2d0b396c7945,5
b3543add-6ad8-4a29-99cf-e357ba756992,5
7b6d8811-51d2-4695-b44b-e8608298aa9d,5
46862a83-c2c2-4fc6-b888-a60d805a77d2,5
ad2c7609-a62d-47c9-9a89-4d66da56311d,5
ec6c9254-f09e-4759-bd48-ea90ef0faddd,5
4179634f-0f01-4279-a5ed-1c3248e7a60c,3
f89e8bb9-f158-47d4-8abf-2860fb1477c9,7
8ee780e9-e4c2-4159-b363-4bff3526edc7,7
57f0c825-52de-41ff-aa27-446f7ac8f64c,5
c018d779-0ce8-4986-824a-0686dd9a0155,5
e9d67896-597f-47ba-ae74-44fcf6ccf50b,3
adafc1c1-44e4-4fe7-a165-64faa25c3ff2,4
64d9108c-fb3b-4a84-8540-a239a2153db3,5
d7e7b86e-910a-438e-a1a5-b9f35f01b715,5
d6bc7345-82bc-4e41-a6a1-db41b75388c0,5
